SMILES,design_notes,Catalog ID,designer_institution,design_rationale,design_submission_source_link,designer_name
C#Cc1cccc2ncccc12,Fragment libraries: DSiPoised,Z1069296356,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(=O)(OC)C(Cc1ccc(Br)cc1)c1cc[n]cc1,Fragment libraries: Leed3D,LDS-034224,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(=O)(OC)C(Cc1ccc[s]1)c1cc[n]cc1,Fragment libraries: Leed3D,LDS-034227,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(=O)(OC)C(Cc1ccco1)c1cc[n]cc1,Fragment libraries: Leed3D,LDS-034221,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(=O)(OC)Cc1cc[n]cc1,Fragment libraries: Leed3D,LDS-034222,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C)(C)CN1C[C@@H]2C[C@@H](CO)O[C@@]2(C1)CCO,Fragment libraries: Leed3D,LDS-034286,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C)(C)CN1C[C@@H]2C[C@H]3C[C@@H](O)[C@@H](O)[C@]2(C1)O3,Fragment libraries: Leed3D,LDS-034285,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)C1C(C1)OCCC1NC1CC2(CCC2)C1,Fragment libraries: Euopen,Z2312625547,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)C1C1NCC11OCCC1,Fragment libraries: Euopen,EN300-217949,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)CC11c(cccc2)c2NC1,Fragment libraries: Euopen,Z1836338847,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)CC1Nc1ccccc1,Fragment libraries: Euopen,EN300-168283,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)CC1c1n[nH]cn1,Fragment libraries: Euopen,EN300-1692461,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)CNC1c1cccs1,Fragment libraries: Euopen,EN300-11321,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)CNCC1c1nocn1,Fragment libraries: Euopen,Z2889977048,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)CNc2c1cccc2,Fragment libraries: Euopen,STK182862,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)COC1c1nc(cccc2)c2[nH]1,Fragment libraries: Euopen,STL262662,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1)NCCN1c1ncccc1,Fragment libraries: Euopen,P1033,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1CCCCN1)n2ccnn2,Fragment libraries: DSiPoised,Z1562190468,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1CCNCC1)c2nc(no2)C3CC3,Fragment libraries: DSiPoised,Z1335066707,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1CCOCC1)N2CCNCC2,Fragment libraries: DSiPoised,Z979762138,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1CNC1)c1cocc1,Fragment libraries: Euopen,EN300-746785,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C1OCCC1)OC1CCNCC1,Fragment libraries: Euopen,EN300-345747,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(C=1C=CC=NC1)N2C=CC=C2,Fragment libraries: Leed3D,Z55669204,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CC1)CCC1Nc1ncccc1,Fragment libraries: Euopen,STL352708,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CC1)Cc2c1[nH]nc2,Fragment libraries: Euopen,PB432024632,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CN1CCOCC1)Sc2ccccc2,Fragment libraries: DSiPoised,Z57600778,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CNC1)C1(CC1)Oc2c1cccc2,Fragment libraries: Euopen,EN300-216516,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CNC1)C1Nc1ccccc1,Fragment libraries: Euopen,EN300-61759,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CNC1)c2c1ccs2,Fragment libraries: Euopen,CSC015185043,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(CNCC1)C1c1ccnc2ccccc12,Fragment libraries: Euopen,Z2235409320,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(Cc1ccccc1)Nc2nc3ccccc3[nH]2,Fragment libraries: DSiPoised,Z57299529,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(N1CCC(CC1)n2cccc2)c3ccccc3,Fragment libraries: DSiPoised,Z56618096,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(N1CCNCC1)c2ccon2,Fragment libraries: DSiPoised,Z991556270,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(N1CCNCC1)c2cscn2,Fragment libraries: DSiPoised,Z352249280,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(N1CCOCC1)c2nc(no2)C3CC3,Fragment libraries: DSiPoised,Z295848548,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(NC1CC1)C2CCOC2,Fragment libraries: DSiPoised,Z239625274,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(NC1CCCC1)C2CCCO2,Fragment libraries: DSiPoised,Z90504169,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(NC1CCNC1)c2ccccc2,Fragment libraries: DSiPoised,Z1255502479,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(NCc1ccncc1)c2cccs2,Fragment libraries: DSiPoised,Z57326966,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(Nc1ccccn1)C2CCNC2,Fragment libraries: DSiPoised,Z990434918,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(Nc1ccncc1)C2CCCO2,Fragment libraries: DSiPoised,Z359301578,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(c1c[nH]cn1)Nc1ccccc1,Fragment libraries: Euopen,EN300-154105,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(c1cccnc1)n2cccc2,Fragment libraries: DSiPoised,Z55669204,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C(c1ccco1)Nc1ncccc1,Fragment libraries: Euopen,AN-584/40151747,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C/C(/N)=C1/C(=O)[C@@H]2C[C@H]3CNC[C@]3(N2)C/1=O,Fragment libraries: Leed3D,LDS-034244,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1=CC=2C=CC=CC2N1,Fragment libraries: SpotXplorer,Z57833933,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1=CN2N=CC=CC2=N1,Fragment libraries: Leed3D,Z1741971885,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1=NN=C2C=NC=CN12,Fragment libraries: Leed3D,Z1182328459,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1C(c2ccccc2)=CCNC1,Fragment libraries: Euopen,BBL027886,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1C(c2ccccc2)NC1,Fragment libraries: Euopen,EN300-39966,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(C1)C2=NC(=NO2)C=3C=CC=CN3,Fragment libraries: Leed3D,Z1169953576,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(C1)c2nc(no2)c3ccccn3,Fragment libraries: DSiPoised,Z1169953576,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(CCN1)C=2C=CN=CN2,Fragment libraries: Leed3D,Z854065836,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(CCN1)N2C=CC=3C=CC=CC23,Fragment libraries: Leed3D,Z3013892089,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(CCN1)c2ccncn2,Fragment libraries: DSiPoised,Z854065836,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(CCN1)c2nccs2,Fragment libraries: DSiPoised,Z979729652,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC(CCN1)n2ccc3ccccc23,Fragment libraries: DSiPoised,Z3013892089,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC1C=2N=C3C=NC=CN3N2,Fragment libraries: Leed3D,Z1486011608,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC1c2nc3cnccn3n2,Fragment libraries: DSiPoised,Z1486011608,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC1c2noc(n2)C3CCNC3,Fragment libraries: DSiPoised,Z1473029866,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC2(C1)NCCN3C=CC=C32,Fragment libraries: Leed3D,Z2026200613,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC2(C1)NCCn3cccc32,Fragment libraries: DSiPoised,Z2026200613,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC2(CCN(C2)c3cnccn3)CO1,Fragment libraries: DSiPoised,Z1401276297,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC2NC1CC=3N=CN=CC23,Fragment libraries: Leed3D,Z1262617180,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CC2NC1Cc3ncncc23,Fragment libraries: DSiPoised,Z1262617180,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CCC(CC1)c2nc(no2)c3ccncc3,Fragment libraries: DSiPoised,Z57715447,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CCCC(CC1)Nc2ncccn2,Fragment libraries: DSiPoised,Z31244728,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CCN(CC1)c2noc(n2)c3cccs3,Fragment libraries: DSiPoised,Z1623890017,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CN(CCN1)C2=NC=3C=CC=CC3S2,Fragment libraries: SpotXplorer,Z119989094,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CN(CCN1)C=2C=CN=C3C=CC=CC23,Fragment libraries: SpotXplorer,Z57477251,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CN(CCO1)c2nc3ccccc3s2,Fragment libraries: DSiPoised,Z56767623,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CNC(C1)C2=NC(=CO2)C3CCCCC3,Fragment libraries: Leed3D,Z1233192857,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CNC(C1)c2nc(co2)C3CCCCC3,Fragment libraries: DSiPoised,Z1233192857,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CNC2(C1)CC=3C=CC=CC3C2,Fragment libraries: Leed3D,Z1262586410,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CNC2(C1)Cc3ccccc3C2,Fragment libraries: DSiPoised,Z1262586410,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
C1CNC=2C=CC=NC2C1,Fragment libraries: SpotXplorer,Z212053854,XChem,XChem initial soak,https://www.diamond.ac.uk/industry/Techniques-Available/Integrated-Structural-Biology/Fragment-Screening---XChem/Fragment-Libraries.html,XChem team
